villageCode,villageNameEnglish,villageNameLocal,villageCensus2011Code,subdistrictCode,subdistrictNameEnglish,subdistrictNameLocal,subdistrictCensus2011Code,districtCode,districtNameEnglish,districtNameLocal,districtCensus2011Code,stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,data_gov_update_date
589731,Machavaram (R),,589731,5034,Machilipatnam,,05034,510,Krishna,KRISHNA                                           ,547,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,14-10-2024
596723,Alukurupalle,,596723,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596697,Anagallu,,596697,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
929827,Annavarappadu,అన్నవరప్పాడు,000000,5139,Ongole Rural,Ongole Rural,05139,517,Prakasam,PRAKASAM                                          ,549,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596699,Bakara Narasinga Rayani Peta,,596699,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
594312,Brahmanapalle,,594312,7425,Nandyal Urban,Nandyal Urban,00000,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
930503,Greamspeta,గ్రీమ్స్ పేట  ,000000,5421,Chittoor Rural,Chittoor Rural,05421,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
583115,Gunkalam,,583115,7431,Vizianagaram Urban,Vizianagaram Urban,00000,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596704,Guvvakallu,,596704,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
583126,Hajisahebpeta,,583126,4836,Vizianagaram Rural,Vizianagaram Rural,04836,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
588438,Gavaravaram (Ct),,588438,4966,Eluru Rural,Eluru Rural,04966,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
