villageCode,villageNameEnglish,villageNameLocal,villageCensus2011Code,subdistrictCode,subdistrictNameEnglish,subdistrictNameLocal,subdistrictCensus2011Code,districtCode,districtNameEnglish,districtNameLocal,districtCensus2011Code,stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,data_gov_update_date
569067,Pardi (Khurd),పార్డి ( ఖుర్ద్ ),569067,4307,Jainath,జైనధ్,04307,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,17-07-2025
569070,Jamini,జామ్ని,569070,4307,Jainath,జైనధ్,04307,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,17-07-2025
576320,Karpakula,కారుపాకుల,576320,4607,Itikyala,ఇటిక్యాల,04607,695,Jogulamba Gadwal,జోగులాంబ గద్వాల,000,36,Telangana,తెలంగాణ,00,17-07-2025
569674,Kowtha (Khurd),కౌట ( ఖుర్ద్ ),569674,4324,Boath,బోథ్,04324,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,17-07-2025
576306,Putandoddi,పుట్టాన్ దోడ్డి,576306,4607,Itikyala,ఇటిక్యాల,04607,695,Jogulamba Gadwal,జోగులాంబ గద్వాల,000,36,Telangana,తెలంగాణ,00,17-07-2025
571416,Raghavapalle,రాఘవపల్లి,571416,4385,Nizamsagar,నిజాంసాగర్,04385,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,19-07-2025
569020,Rampurtaraf,రాంపూర్ తరఫ్,569020,4307,Jainath,జైనధ్,04307,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,19-07-2025
571417,Rangapur,రంగాపూర్,571417,4385,Nizamsagar,నిజాంసాగర్,04385,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,19-07-2025
573093,Rudraram,రుద్రారం,573093,4464,Mirdoddi,మిర్ దొడ్డి,04464,692,Siddipet,సిద్దిపేట,000,36,Telangana,తెలంగాణ,00,19-07-2025
570999,Salampad,సాలంపాడ్,570999,4370,Bodhan,బోధన్,04370,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,19-07-2025
569032,Sekapoor,సేఖాపూర్,569032,4307,Jainath,జైనధ్,04307,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,19-07-2025
571289,Singaraipally,సింగరాయిపల్లి,571289,6243,Ramareddy,రామారెడ్డి,00000,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,19-07-2025
